PLAYER,injury,year
JOHN DANKS," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM AUGUST 2012 LEFT SHOULDER SURGERY.",2015
JOHN GAST,. LEFT SHOULDER STRAIN.,2015
JOHN LACKEY," RETROACTIVE TO APRIL 7, 2013. STRAINED RIGHT BICEPS.",2015
JOHN LANNAN,". STRAINED QUADRICEPS TENDON IN LEFT KNEE. RETROACTIVE TO AUGUST 15, 2013. LEFT KNEE TENDINOSIS.",2015
JOHNNY CUETO," RETROACTIVE TO APRIL 14, 2013. STRAINED RIGHT LAT.. TIGHTNESS IN HIS RIGHT LAT. RETROACTIVE TO JUNE 1, 2013. STRAINED RIGHT SHOULDER.",2015
JON NIESE,. PARTIAL TEAR OF THE LEFT ROTATOR CUFF.,2015
JONATHAN BROXTON," RETROACTIVE TO JUNE 14, 2013. RIGHT ELBOW FLEXOR MASS STRAIN.. FLEXOR MASS STRAIN IN RIGHT FOREARM.",2015
JONATHAN PETTIBONE," RETROACTIVE TO JULY 29, 2013. RIGHT SHOULDER STRAIN.",2015
JONNY VENTERS," RETROACTIVE TO MARCH 27, 2013. LEFT ELBOW SPRAIN.",2015
JORDAN WALDEN," RETROACTIVE TO MAY 12, 2013. RIGHT SHOULDER INFLAMMATION.",2015
JOSE CONTRERAS,. LOWER BACK INFLAMMATION,2015
JOSE DOMINGUEZ,. STRAINED LEFT QUAD MUSCLE,2015
JOSH BECKETT," RETROACTIVE TO MAY 14, 2013. STRAINED LEFT GROIN.",2015
JOSH EDGIN," RETROACTIVE TO JULY 30, 2013. STRESS FRACTURE IN RIBS.",2015
JOSH FIELDS," RETROACTIVE TO APRIL 4, 2013. RIGHT FOREARM STRAIN.",2015
JOSH JOHNSON," RETROACTIVE TO APRIL 29, 2013. RIGHT TRICEPS INFLAMMATION. RETROACTIVE TO AUGUST 7, 2013. RIGHT FOREARM STRAIN.",2015
JUAN CARLOS OVIEDO,. RECOVERING FROM SEPTEMBER 2012 TOMMY JOHN SURGERY.,2015
JUAN PEREZ,. TORN ULNAR COLLATERAL LIGAMENT IN LEFT ELBOW.,2015
KEVIN JEPSEN," RETROACTIVE TO APRIL 12, 2013. TIGHT RIGHT TRICEPS. RETROACTIVE TO AUGUST 21, 2013. APPENDICITIS.",2015
KEVIN SLOWEY,. RIGHT FOREARM DISCOMFORT.,2015
KYLE KENDRICK," RETROACTIVE TO SEPTEMBER 14, 2011. RIGHT SHOULDER TENDINITIS.",2015
KYUJI FUJIKAWA,. STRAINED RIGHT FOREARM.. MUSCULAR STRAIN OF RIGHT FOREARM,2015
LEYSON SEPTIMO," RETROACTIVE TO MARCH 22, 2013. LEFT SHOULDER STRAIN.",2015
LUIS AYALA," RETROACTIVE TO APRIL 25, 2013. ANXIETY DISORDER",2015
MANNY PARRA," RETROACTIVE TO APRIL 24, 2013. STRAINED LEFT PECTORAL MUSCLE.",2015
MARCO ESTRADA," RETROACTIVE TO JUNE 4, 2013. LEFT HAMSTRING STRAIN.",2015
MARK LOWE,. NECK STIFFNESS.,2015
MARK ROGERS,. RIGHT ARM FATIGUE.,2015
MATT CAIN,. CONTUSION ON HIS RIGHT FOREARM.,2015
MATT GARZA," RETROACTIVE TO MARCH 22, 2013. STRAINED LEFT LAT.",2015
MATT GUERRIER,. SORE RIGHT ELBOW.,2015
MATT HARRISON," RETROACTIVE TO APRIL 7, 2013. LOWER BACK STRAIN.",2015
MATT HARVEY," RETROACTIVE TO AUGUST 27, 2012. PARTIAL LIGAMENT TEAR IN HIS RIGHT ELBOW.",2015
MATT MOORE," RETROACTIVE TO JULY 29, 2013. LEFT ELBOW SORENESS.",2015
MATT REYNOLDS,. STRAINED LEFT ELBOW.,2015
MATT THORNTON," RETROACTIVE TO AUGUST 5, 2013. RIGHT OBLIQUE STRAIN.",2015
MICHAEL KIRKMAN," RETROACTIVE TO JUNE 7, 2013. CUTANEOUS LYMPHOMA IN RIGHT TRICEPS.",2015
MICHAEL STUTES,. RIGHT BICEPS TENDINITIS.,2015
MIGUEL GONZALEZ," RETROACTIVE TO MAY 4, 2013. RIGHT THUMB BLISTER.",2015
MIKE ADAMS," RETROACTIVE TO MAY 11, 2013. RIGHT BACK STRAIN. RETROACTIVE TO JUNE 20, 2013. RIGHT BICEPS TENDINITIS.",2015
MIKE PELFREY," RETROACTIVE TO JUNE 19, 2013. STRAINED BACK",2015
NATHAN EOVALDI," RETROACTIVE TO MARCH 24, 2013. MILD RIGHT SHOULDER INFLAMMATION.",2015
NEFTALI FELIZ,. RECOVERING FROM AUGUST 2012 TOMMY JOHN SURGERY.,2015
NICK MASSET," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM SEPTEMBER 2012 RIGHT SHOULDER SURGERY.",2015
NICK TEPESCH," RETROACTIVE TO JULY 6, 2013. RIGHT ELBOW INFLAMMATION.",2015
NOEL ARGUELLES,. GROIN INJURY.,2015
OCTAVIO DOTEL," RETROACTIVE TO APRIL 20, 2013. RIGHT ELBOW INFLAMMATION.",2015
PEDRO STROP," RETROACTIVE TO MAY 24, 2013. LOWER BACK STRAIN",2015
PHIL COKE," RETROACTIVE TO APRIL 26, 2013. LEFT GROIN STRAIN.",2015
PHIL HUGHES," RETROACTIVE TO MARCH 22, 2013. BULGING DISC IN HIS UPPER SPINE.",2015
PHIL IRWIN,.,2015
RAFAEL BETANCOURT," RETROACTIVE TO JUNE 1, 2013. RIGHT GROIN STRAIN RETROACTIVE TO JULY 15, 2013. APPENDICITIS.. RIGHT ELBOW SPRAIN.",2015
RAFAEL DOLIS," RETROACTIVE TO MAY 27, 2013. MILD RIGHT FOREARM STRAIN.",2015
RAMON ORTIZ," RETROACTIVE TO JUNE 3, 2013. STRAINED RIGHT ELBOW.",2015
RAMON TRONCOSO," RETROACTIVE TO AUGUST 16, 2013. INFLAMMATION OF THE TISSUE AROUND THE HEART",2015
ROBERT COELLO," RETROACTIVE TO JUNE 10, 2013. RIGHT SHOULDER INFLAMMATION.",2015
ROSS DETWILER," RETROACTIVE TO MAY 16, 2013. RIGHT OBLIQUE STRAIN. RETROACTIVE TO JULY 4, 2013. LOW BACK STRAIN.",2015
ROSS OHLENDORF," RETROACTIVE TO AUGUST 1, 2013. RIGHT SHOULDER INFLAMMATION.",2015
ROY HALLADAY,. RIGHT SHOULDER DISCOMFORT.,2015
ROY OSWALT,. LEFT HAMSTRING STRAIN.,2015
RYAN MADSON," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM APRIL 2012 TOMMY JOHN SURGERY.",2015
RYAN MATTHEUS," RETROACTIVE TO MAY 20, 2013. FRACTURED RIGHT HAND.",2015
RYAN VOGELSONG,. FRACTURED RIGHT HAND.,2015
SAMUEL DEDUNO,. RIGHT SHOULDER SORENESS.,2015
SANTIAGO CASILLA,. CYST IN HIS RIGHT KNEE.,2015
SCOTT ATCHISON,. INFLAMMATION IN RIGHT ELBOW.. SORE RIGHT GROIN.,2015
SCOTT BAKER,. RECOVERING FROM APRIL 2012 TOMMY JOHN SURGERY.,2015
SCOTT BARNES,. LEFT WRIST SPRAIN.,2015
SCOTT DIAMOND,. RECOVERING FROM DECEMBER 2012 LEFT ELBOW SURGERY.,2015
SCOTT ELBERT," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM JANUARY 2013 LEFT ELBOW SURGERY.",2015
SCOTT KAZMIR," RETROACTIVE TO APRIL 2, 2013. RIGHT RIB CAGE STRAIN.",2015
SCOTT RICE,. SPORTS HERNIA,2015
SEAN BURNETT," RETROACTIVE TO APRIL 27, 2013. LEFT FOREARM IRRITATION. RETROACTIVE TO MAY 27, 2013. IMPINGEMENT IN HIS LEFT ELBOW.",2015
SEAN MARSHALL," RETROACTIVE TO APRIL 8, 2013. TENDINITIS IN LEFT SHOULDER. RETROACTIVE TO MAY 21, 2013. SPRAINED LEFT SHOULDER",2015
SERGIO SANTOS," RETROACTIVE TO APRIL 14, 2013. SORENESS IN HIS RIGHT TRICEPS.",2015
SHAUN MARCUM," RETROACTIVE TO MARCH 22, 2013. NECK DISCOMFORT.. THORACIC OUTLET SYNDROME",2015
SHAWN CAMP,. SPRAINED RIGHT BIG TOE.,2015
SHAWN TOLLESON," RETROACTIVE TO APRIL 13, 2013. LOWER BACK STRAIN.",2015
STEPHEN FIFE," RETROACTIVE TO JULY 7, 2013. RIGHT SHOULDER BURSITIS.",2015
STEPHEN PRYOR,. TEAR IN RIGHT LATISSIMUS DORSI MUSCLE,2015
STEPHEN STRASBURG," RETROACTIVE TO JUNE 1, 2013. MILD LAT STRAIN.",2015
STEVE DELABAR," RETROACTIVE TO AUGUST 3, 2013. RIGHT SHOULDER INFLAMMATION.",2015
STEVE JOHNSON,. LEFT OBLIQUE STRAIN.,2015
TAYLOR JORDAN,. RIGHT LOWER BACK STRAIN.,2015
TED LILLY," RETROACTIVE TO MARCH 28, 2013. RECOVERING FROM SEPTEMBER 2012 LEFT SHOULDER SURGERY. RETROACTIVE TO APRIL 30, 2013. RIGHT RIB CAGE STRAIN. RETROACTIVE TO JUNE 5, 2013. NECK SPRAIN.",2015
TIM HUDSON,. FRACTURED RIGHT ANKLE.,2015
TIM WOOD," RETROACTIVE TO MARCH 24, 2013. RIGHT ROTATOR CUFF STRAIN.",2015
TOM GORZELANNY," RETROACTIVE TO MAY 8, 2013. LEFT SHOULDER TENDINITIS.",2015
TOMMY HANSON," RETROACTIVE TO JUNE 21, 2013. RIGHT FOREARM TIGHTNESS.",2015
TONY CINGRANI," RETROACTIVE TO AUGUST 21, 2013. RIGHT LOWER BACK STRAIN.",2015
TRAVIS BLACKLEY," RETROACTIVE TO APRIL 5, 2013. LEFT SHOULDER STRAIN.",2015
TREVOR CAHILL,. RIGHT HIP CONTUSION.,2015
TSUYOSHI WADA," RETROACTIVE TO MARCH 22, 2013. LEFT ELBOW SURGERY.",2015
TYLER CHATWOOD,. RIGHT ELBOW INFLAMMATION.,2015
TYSON ROSS," RETROACTIVE TO APRIL 18, 2013. LEFT SHOULDER SUBLUXATION.",2015
VINNIE PESTANO," RETROACTIVE TO MAY 1, 2013. RIGHT ELBOW TENDINITIS.",2015
WANDY RODRIGUEZ," RETROACTIVE TO JUNE 6, 2013. LEFT FOREARM TIGHTNESS.",2015
YOVANI GALLARDO,. TIGHT LEFT HAMSTRING.,2015
YU DARVISH," RETROACTIVE TO JULY 7, 2013. RIGHT SHOULDER STRAIN.",2015
ZACH MCALLISTER," RETROACTIVE TO JUNE 3, 2013. RIGHT MIDDLE FINGER SPRAIN.",2015
ZACH PUTNAM,. RIGHT ELBOW SORENESS.,2015
ZACK GREINKE,. FRACTURED LEFT COLLARBONE,2015
